ID,EXAM-ID,pH,EC,OM
1,68Feb01,,,
2,68Feb02,,,
3,68Feb03,,,
4,68Feb04,,,
5,68Feb05,,,
6,68Feb06,,,
7,68Feb07,,,
8,68Feb08,,,
9,68Feb09,,,
10,68Feb10,,,
11,68Feb11,,,
12,68Feb12,,,
13,68Feb13,,,
14,68Feb14,,,
15,68Feb15,,,
16,68Feb16,,,
17,68Feb17,,,
18,68Feb18,,,
19,68Feb19,,,
20,68Feb20,,,
21,68Feb21,,,
22,68Feb22,,,
23,68Feb23,,,
24,68Feb24,,,
25,68Feb25,,,
26,68Feb26,,,
27,68Feb27,,,
28,68Feb28,,,
29,68Feb29,,,
30,68Feb30,,,
31,68Feb31,,,
32,68Feb32,,,
33,68Feb33,,,
34,68Feb34,,,
35,68Feb35,,,
36,68Feb36,,,
37,68Feb37,,,
38,68Feb38,,,
39,68Feb39,,,
40,68Feb40,,,
41,68Feb41,,,
42,68Feb42,,,
43,68Feb43,,,
44,68Feb44,,,
45,68Feb45,,,
46,68Feb46,,,
47,68Feb47,,,
48,68Feb48,,,
49,68Feb49,,,
50,68Feb50,,,
51,68Feb51,,,